lemma	pos	form	sentence	source_corpus
parim	ADJ	parimais	Antud juhul on tähtis see, et siin kooris laulavad parimais aastaid Eesti mehed.	et
parim	ADJ	parimat	Ma lahkusin majast ilma vihmavarjuta lootes parimat.	et
üritama	VERB	üritanud	Sara oli üritanud terve hommiku hommikusööki teha.	et
üritama	VERB	üritasin	Ma üritasin oma autot käivitada.	et
sõitma	VERB	sõidan	Ma sõidan oma autoga tööle.	et
sõitma	VERB	sõidab	Ta sõidab oma autoga tööle.	et
enese	PRON	eneses	Vajab ta eneses selguse leidmiseks kogu loomingu paremiku nagu kuivava pesu ritta riputamist?	et
enese	PRON	Enesest	Enesest ei rääkinud ta palju ning oli üsna kinnise loomuga.	et
milline	PRON	millise	Mari saab tellida ükskõik millise raamatu, mida ta tahab hetkega.	et
milline	PRON	millistele	Üha rohkem hakatakse kaklema selle pärast, kes ja millistele projektidele saab toetust.	et
juht	NOUN	juhtu	Mida ta loodab, et ei juhtu?	et
juht	NOUN	juhtusid	Tema kirjutas sellest saja-aastasest, kellega kõik maailma asjad juhtusid.	et
lõpp	NOUN	lõpus	Ta kavatseb lõpetada selle aasta lõpus.	et
lõpp	NOUN	Lõpuni	Lõpuni ei teadnud, kes võidab ja kogu aeg pidi mõtlema strateegiat.	et
püüdma	VERB	püüaksite	Tom, kas te palun püüaksite selle kinni?	et
püüdma	VERB	püüame	Meie nüüd, vaadates vana projekti, püüame viia nende unistuse ellu.	et
sööma	VERB	söö	Ei, nad ei söö õhtusööki kell kuus.	et
sööma	VERB	sööb	Meie poeg sööb koos meiega õhtusööki.	et
magama	VERB	magaksin	Ma ei saaks ju kirjutada, kui ma magaksin!	et
magama	VERB	magades	Ta veedab oma päevi mängides, süües ja magades.	et
järgmine	ADJ	järgmisse	Vabu aegu sellesse ja järgmisse nädalasse on saada üle Eesti.	et
järgmine	ADJ	järgmiste	Samas on järgmiste kuude kasvuootus kahanenud – see paistis eriti teravalt silma augustikuises küsitluses.	et
hommik	NOUN	hommiku	Sara oli üritanud terve hommiku hommikusööki teha.	et
hommik	NOUN	hommikusse	Iga jagu liigub ööst hommikusse või päevast öhe ja midagi sarnast toimub ka aastaaegadega.	et
kaotama	VERB	kaotaksime	Meia kaotaksime raha, nemad kaotaksid raha, see ei ole väga tark.	et
kaotama	VERB	Kaotavad	Kaotavad väärtust, kui neid saab liiga palju.	et
vend	NOUN	vennast	Ta oli väga erinev oma vennast ja õest.	et
vend	NOUN	vendi	Ja kui te üksnes vendi tervitate, mida erilist te siis teete?	et
istuma	VERB	istun	Proovi tehes istun tihti sama laua taga, kus kunagi istus minu õpetaja.	et
istuma	VERB	istutama	Just eile arutasime, et tomatitaime ei saa enam juulis istutama hakata.	et
teine	NUM	teises	Kas teises korteris on mööbel olemas?	et
teine	NUM	Teises	Teises korteris on mööbel.	et
soovima	VERB	soovin	Täna hommikul, ma soovin, et mu ajakava oleks kergem.	et
soovima	VERB	soovimas	Vaata galeriist, kes veel Levinile õnne soovimas käisid.	et
linn	NOUN	linnal	Mis mõnel linnal juba oli olemas?	et
linn	NOUN	linna	Kõigepealt läheb ta suurde linna.	et
muretsema	VERB	muretseb	Ta muretseb, et ta vallandatakse, kui ta vea teeb.	et
muretsema	VERB	muretsesite	Paksud inimesed vajavad dieeti, aga haruharva alustavad nad seda vabatahtlikult, muretsesite kord.	et
kena	ADJ	kenam	Ning Jaanika oli arvanud, et ta on kõige kenam näitleja.	et
kena	ADJ	Kenas	Kenas mustas õhtutualetis publiku ette ilmunud venelanna teenis tormilise aplausi.	et
relv	NOUN	relvadest	Küll aga ei oska nad eristada toone, asjaolusid, rääkimata relvadest.	et
relv	NOUN	relviks	Barrikaadidele, mida täis kõik tänavad, relviks granaat, nuga või ka paljad rusikad!	et
kallis	ADJ	kallite	Ja meil endal on jälle oma kallite laste jaoks aega ja rõõmu ja jõudu.	et
kallis	ADJ	kallistest	Te ütlesite, et neist kallistest palgasõduritest piisab.	et
maksma	VERB	maksame	Me peame üleval aga tervet ruumi, maksame kommunaale, mis on suhteliselt kallid.	et
maksma	VERB	maksan	On näiteks veidi naeruväärne, et elan Tallinna kesklinnas ja maksan aastas kaheksa eurot maamaksu.	et
osa	NOUN	osis	Filmi muusika on kollektiivse kunsti osis, ta täidab kindlaid funktsioone.	et
osa	NOUN	osadest	Impressionistlik viimane osa jäi oma stilistilise ja tundmusliku iseloomu tõttu kõigist osadest enim kõrva.	et
selge	ADJ	selgest	Ühel päeval tabab naist aga nagu välk selgest taevast otsus rohkem tablette mitte süüa.	et
selge	ADJ	Selget	Selget soovitust, kumba suunda eelistada, mul ometigi anda ei ole.	et
minut	NOUN	minutit	Kõik tema tunnid on üheksakümmend minutit pikad.	et
minut	NOUN	minutites	Nende õnnetuseks on see film rohkem kui kõvatamine pööretega minutites.	et
täpne	ADJ	Täpse	Täpse olukorra kindlakstegemine on väga tähtis.	et
lootma	VERB	loodad	Kui ise annad teste, siis loodad ikka, et see on negatiivne.	et
lootma	VERB	loodan	Ma loodan, et Marile meeldib see kaelakee.	et
juur	NOUN	juure	Või miks peab Mutionu elama sügaval kadakpõõsa juure all?	et
juur	NOUN	juurtesse	Autor konstateerib nukralt, et nii see on, kuid asja juurtesse ta ei süvene.	et
oskama	VERB	oska	Gunnar ei oska väga hästi süüa teha.	et
oskama	VERB	Oskasin	Oskasin väga hästi puude otsas ronida.	et
jalg	NOUN	jalgadega	Kergelt kaasa liikuvad käed aitavad jalgadega paremat rütmi leida.	et
jalg	NOUN	jalgu	Õpetaja käsib tal jalgu sirutada.	et
kutt	NOUN	kutis	Mida sa selles kutis üldse nägid?	et
kutt	NOUN	kuttide	Kasvasin üles kuttide keskel, aga see olukord tuleb ümber mõelda.	et
nädal	NOUN	nädalat	Ta ei pea kaks nädalat töötama.	et
nädal	NOUN	nädalasse	Vabu aegu sellesse ja järgmisse nädalasse on saada üle Eesti.	et
vähem	ADJ	vähemast	Ent piisab ka palju vähemast.	et
vähem	ADJ	vähemal	Suures linnas inimene vähemal või rohkemal määral lahustub, muutub anonüümseks.	et
üks	NOUN	ühel	Nad olid tahtnud ühel päeval kohtuda kuulsa inimesega.	et
üks	NOUN	ühelt	Eerik oli palunud abi ühelt klassivennalt.	et
esimene	ADJ	esimest	Toomas otsustas esimest korda Tai toitu süüa.	et
esimene	ADJ	esimesse	Ma lähen oma esimesse tantsutundi.	et
halb	ADJ	halvalt	Ma mängisin väga halvalt, aga samas oli tema ka igati tasemel.	et
halb	ADJ	halvaks	Sisekliima oli väga halvaks muutunud, paljud inimesed töölt lahkunud.	et
ehk	ADV	Ehket	Ehket eetris on küll vaikus, kuid stuudios mitte.	et
raske	ADJ	raskeid	Elu on täis raskeid otsuseid.	et
raske	ADJ	raskete	Esimesel profiaastal sai mulle selgeks, et ainult raskete treeningutega auhindu ei võida.	et
meel	NOUN	meelis	Armastasin väga joonistada ning meelis teemaks olid näod, eriti ilusad naiste näod.	et
meel	NOUN	meeltes	Luule ei kirjelda, luule käivitab midagi lugejate meeltes.	et
ajama	VERB	ajab	Seega loeng ajab mind segadusse.	et
ajama	VERB	ajamata	Eks seetõttu jäägi paljudel see rada läbi tallamata ja priske raha kokku ajamata.	et
tõsi	NOUN	tõtt	Inimestega, kes ei karda sulle tõtt rääkida.	et
tõsi	NOUN	tõega	Pärast kõiki neid aastaid seisame me silmitsi kurva tõega.	et
elu	NOUN	elust	Suurema osa tema elust polnud elektroonilise raamatu ideed olemaski.	et
elu	NOUN	Elud	Elud mööduvad, asjad kuhjuvad, üks mälestus ajab teist taga.	et
ilus	ADJ	ilusatele	Ilu on ainus, osta seda ei saa, ja ilusatele inimestele on kõik lubatud.	et
ilus	ADJ	ilusaid	Seal on palju ilusaid kingi.	et
kusi	NOUN	Kust	Kust Siim pärit on?	et
muu	INTJ	muid	Neil juhtudel pidime tegema muid korraldusi.	et
muu	INTJ	muus	Kuuma eest võib vajadusel varjuda näiteks kaubanduskeskuses või mõnes muus konditsioneeritud avalikus ruumis.	et
teade	NOUN	teadetega	Teate saab esitada ettevõtjaportaali kaudu analoogselt teiste teadetega äriregistrile.	et
teade	NOUN	Teadet	Teadet ujusin koos Simonas Bilise, Andrei Žilkini ja Ben Proudiga.	et
suurepärane	ADJ	suurepärastele	See on päris pikk aeg, mis lisaks suurepärastele emotsioonidele lõhub aga palju keha.	et
suurepärane	ADJ	suurepärased	Mitte ainult eksport ei kasva, vaid ka teatud välisriikides on suurepärased varuosade tarnijad.	et
uks	NOUN	ustel	See, et hoone sisemuses ja ustel domineerib vana hea veripunane, ei tee asja selgemaks.	et
uks	NOUN	usteni	Inimkonnana astume uutele lävepakkudele iga päev ja seeläbi areneme ning jõuame järgmiste usteni.	et
küsimus	NOUN	küsimusest	Et tüütust küsimusest lahti saada, nähvad midagi ja siis tuleb järgmine küsimus...	et
küsimus	NOUN	küsimused	Ta küsib kaupluse müüjalt mõned küsimused.	et
lugema	VERB	loen	Ma loen raamatut, kuid jään magama.	et
lugema	VERB	loeb	Jane loeb raamatut, kuid jääb magama.	et
muutuma	VERB	muutud	Isegi siis, kui muutud kellekski teiseks.	et
muutuma	VERB	muutusin	Ma muutusin jälle närviliseks ning kärsituks.\n\n„Viige see alla!	et
kirjutama	VERB	kirjutaks	Ma isegi tahaks, et mingid sellised kohad kirjutaks rohkem.	et
kirjutama	VERB	Kirjutavad	Kirjutavad niimoodi nagu tuleb.	et
öö	NOUN	ööni	Ja siis ma poole ööni tegutsen, magan kaua.	et
öö	NOUN	öhe	Iga jagu liigub ööst hommikusse või päevast öhe ja midagi sarnast toimub ka aastaaegadega.	et
peaksi	NOUN	Peaksid	Peaksid justkui arvustama kellegi elatud elu, tema iseenda tarbeks tehtud päevikumärkmeid, vanu armastuskirju.	et
maa	NOUN	maas	Ta nägi kaks kuusekäbi maas.	et
maa	NOUN	maaga	Kere kokkupuude maaga tekitas täiendavaid mõrasid muu hulgas vaagnaluus, selgroolülides ja koljus.	et
võimalik	ADJ	võimalikeks	Kindlasti siin on veel arenguruumi järgmisteks võimalikeks uuteks pandeemiaks valmistumisel.	et
võimalik	ADJ	Võimaliku	Võimaliku kahju ennetamine on alati tõhusam.	et
kell	NOUN	kellaks	Neid saab kindlaks kellaks tellida või siis niimoodi nagu meil Bolti.	et
esi	NOUN	eest	Teisest küljest, kui sa õpid veebis, saad õppida sama materjali palju väiksema summa eest.	et
mõlemad	NOUN	mõlemaid	Ma pean arvatavasti neid mõlemaid proovima.	et
mõlemad	NOUN	mõlemat	Kui ma proovin mõlemat, siis ma peaksin suutma otsustada.	et
ilmne	ADJ	ilmsetel	Oma ilmsetel põhjustel on seda pimedat olukorda raske katsuda.	et
ilmne	ADJ	ilmseid	Üks ilmseid mõjutajaid on arvatavasti hiljuti taas toimunud sõnamänguline Stencibility tänavakunstifestival.	et
paistma	VERB	paistaksin	Kuidas ma selles paistaksin, Harry?	et
paistma	VERB	paistis	Päike paistis terve päeva.	et
tõeline	ADJ	tõelist	Näha ja katsuda saab tõelist võidusõiduratast ja selle juurde kuuluvat varustust.	et
tõeline	ADJ	tõelistesse	Ma suhtun tõelistesse performaritesse väga romantiliselt, tunnen nendega hingesugulust ja püüan neilt midagi õppida.	et
järgima	VERB	järgisite	Oleksin pidanud järgima oma instinkti teie suhtes, nagu teie järgisite oma.	et
järgima	VERB	järgin	Ma järgin ohutusmeetmeid, aga tuleb välja, et sellest ei piisanud.	et
haige	ADJ	haigetesse	Halvustava suhtumisega haigetesse inimestesse ei näita me muud kui enda kitsarinnalisust.	et
haige	ADJ	Haigena	Haigena tööl käivad inimesed on viiruselevitajad nii tööl kui avalikus ruumis, näiteks ühistranspordis.	et
rahu	NOUN	Rahule	Rahule pühamu püstitada ja rituaalidki luua.	et
alustama	VERB	alustasin	Ma alustasin uut tööd eelmisel aastal.	et
alustama	VERB	alustas	Jaanika alustas hiljuti uut tööd.	et
nägu	NOUN	nägudele	Inimene on programmeeritud pöörama tähelepanu nägudele.	et
nägu	NOUN	näota	Ja ajalehe õuduste rubriiki ta ju pääses, kuigi ilma nimeta ja, paraku!, näota.	et
jooksma	VERB	joosta	Maara proovib joosta ja Emily tõstab raskusi.	et
jooksma	VERB	Jooksete	Jooksete ja jätate haavatud maha!	et
kuldama	VERB	Kullatud	Kullatud rist ja kuul peaksid särama Kullamaa kiriku tornis väga kaua.	et
siga	ADJ	Seal	Seal on palju ilusaid kingi.	et
liikuma	VERB	liigub	Tundub, et see liigub väga aeglaselt.	et
liikuma	VERB	liikuda	Maanteel on liiga palju rahvast, et liikuda.	et
ainus	ADJ	ainsaid	Nad on üks vähemusgrupp ja nad pole ainsaid.	et
ainus	ADJ	Ainsal	Ainsal avatud restoranil ei olnud lepingut lennujaama vautšerisüsteemiga.	et
nali	NOUN	naljas	Saad aru, et igas naljas on natuke tõde.	et
nali	NOUN	Naljaks	Naljaks, et meil sinuga nii palju ühist on.	et
käskima	VERB	käskis	Arst käskis mul selle asemel magada ja vett juua.	et
käskima	VERB	käskisime	Me käskisime Venemaal neid laevu mitte saata.	et
hull	ADJ	hullu	Midagi eriti hullu ei juhtu.	et
hull	ADJ	hulluks	Tõestamaks endale, et ta ei ole hulluks läinud.	et
kontrollima	VERB	kontrolliksite	Kas te kontrolliksite seda palun minu eest?	et
kontrollima	VERB	kontrollida	Tavaliselt vaatas ta välja, et kontrollida ilma.	et
vedama	VERB	veeta	Georgile meeldib ka raamatupoodides ja raamatukogudes aega veeta, et näha, millised raamatud on saadaval.	et
vedama	VERB	vead	GP-skeemi sõitsime rahulikumalt ja galopis tulid sisse mõned vead.	et
ostma	VERB	ostsin	Lõpuks ostsin halli ülikonna.	et
ostma	VERB	ostmata	Jätmata raamatu ostmata, sest sellele on kriipsu tõmmanud tüüp, kellele lihtsalt ei meeldinud?	et
anne	NOUN	andeks	Andke andeks, aga seda on mainitud ka infolehes otsese vastunäidustusena.	et
anne	NOUN	annetega	Hiljem, nagu see noorte annetega sageli juhtub, muututakse tavalisemaks ja viisakamaks ja kõigile vastuvõetavamaks.	et
meene	ADJ	meestest	Plokkvibu meestest võitis kadettide klassi kuuluv Robin Jäätma ja hõbemedali viis koju Kristjan Puusepp.	et
meene	ADJ	Meestel	Meestel olid enesekaitseks ainult revolvrid ja väikesekaliibrilised püstolid paarisaja vintpüssi vastu.	et
paar	NOUN	paari	Kas Liisa proovib jalga kahte paari?	et
paar	NOUN	paarina	Pill ja Alfons Ra olid Eesti sportlastest järgnevad ning kvalifitseerusid kuuenda paarina ümberhüpetele.	et
soov	NOUN	soovi	Inimesed saavad soovi korral lugeda oma telefonides, tahvelarvutites või spetsiaalsetes e-raamatu lugejates nagu Kindle.	et
soov	NOUN	Soovid	Soovid paradiisi – saad paradiisi.	et
mäng	NOUN	mängus	Pealtvaatajad olid mängus nii sees, et hõikasid meile rünnakul ette, kuhu peaksime lööma.	et
mäng	NOUN	Mänguga	Mänguga võidakse minna kaasa ainult edu pärast, mitte tegelikult mängu nautides.	et
seisma	VERB	seisan	Ma seisan salatileti juures Lõpuks ma lahkun poest.	et
seisma	VERB	seisab	Ta seisab salatileti juures.	et
lööma	VERB	löögu	Kellele meeldib, löögu kaasa!	et
lööma	VERB	lööge	See erektsioon ei saanud, lööge või maha, olla loomulik.	et
tegelema	VERB	tegeldaks	Kui inimeste uni on häiritud, siis nad tahavad, et selle probleemiga tegeldaks.	et
tegelema	VERB	tegelemast	Vastasel korral võõrandab see noori teadusega tegelemast.	et
proovima	VERB	proovib	Kõigepealt proovib ta süüa teha.	et
proovima	VERB	proovin	Kõigepealt proovin süüa teha.	et
tapp	NOUN	tapiga	Keelan saata mind tapiga kuhugi mujale kui Ukrainasse!	et
tapp	NOUN	Tappa	Tappa aeg, ta surnuks lüüa!	et
vale	ADJ	vales	Mõnikord suunas, kuhu tahame jõuda ja mõnikord ka vales suunas.	et
vale	ADJ	valedeks	Meeskonnatöö oli hea, kuid mõned taktikalised otsused osutusid valedeks.	et
tütar	NOUN	tütart	Ei, neil pole tütart, aga neil on poeg.	et
tütar	NOUN	tütrel	Minu tütrel on ka palju sõpru.	et
tõsine	ADJ	tõsisel	Kui karjääri jätkata, siis tõsisel, kõrgel tasemel.	et
tõsine	ADJ	tõsised	Need on liiga tõsised sõnad, et tuua neid kuuldavale, eriti tõendeid esitamata.	et
vastama	VERB	vastasin	Grupijuhina vastasin Gorbatšovile diplomaatiliselt, et Moskva Kesktelevisioon saatis.	et
vastama	VERB	Vastatakse	Vastatakse, et ainult siis, kui ma ei tea, kes on mu lapse isa.	et
õppima	VERB	õpi	Ei õpi, ei käi tööl.	et
õppima	VERB	õpin	Teisest küljest, kui ma õpin internetis saan õppida sama materjali palju odavamalt.	et
süda	NOUN	südamelt	Võinuks ju minna ja kõik südamelt ära öelda.	et
süda	NOUN	südamest	Endrik Üksvärav ütleb, et otsus sel päeval Iisraelis Tormist laulda tuli neil sügavalt südamest.	et
vaba	ADJ	vabades	Need otsused mõjutavad vabades riikides ka riigi kui terviku käekäiku.	et
vaba	ADJ	Vabu	Vabu aegu sellesse ja järgmisse nädalasse on saada üle Eesti.	et
piisav	ADJ	piisavalt	Adrian otsustas, et see on piisavalt hea.	et
piisav	ADJ	piisavate	Nende enda riikides ei pruugi otra piisavate linnaste tootmiseks jätkuda.	et
õde	NOUN	õest	Ta oli väga erinev oma vennast ja õest.	et
õde	NOUN	õele	Sirje õele meeldib inimestega rääkida rohkem kui Sirjele.	et
õnnelik	ADJ	õnnelikuna	Kas Markus tunneb end õnnelikuna?	et
õnnelik	ADJ	õnnelikena	Ka enda inimeste tervete ja õnnelikena hoidmiseks.	et
looma	VERB	looksin	Millest ma küll looksin, kui poleks ilu?	et
looma	VERB	lõin	Mõned aastad tagasi lõin oma firma ja veidi pärast seda perekonna.	et
tuba	NOUN	tubasid	See hakkas soojaks kütma tubasid, see laadis telefone, sõidutas autosid.	et
tuba	NOUN	toaga	Mis turismitalu sa ikka mõne toaga elamises korraldad!	et
kavatsema	VERB	kavatseb	Ta kavatseb lõpetada selle aasta lõpus.	et
kavatsema	VERB	kavatsevad	Nad kavatsevad lõpetada selle aasta lõpus.	et
otsustama	VERB	otsustasin	Ma otsustasin arsti juurde minna.	et
otsustama	VERB	otsustan	Ma otsustan rohkem raha säästa.	et
usaldama	VERB	usaldage	Ärge usaldage oma sõnu.	et
usaldama	VERB	usaldaks	Ma ilmselt ei teekski filmi, kui ma lavastajat ei usaldaks.	et
kool	NOUN	koolist	Ta peab oma lõunasöögi koolist ostma.	et
kool	NOUN	koolita	Pepu, pepu, ilma õpilasteta ei oleks kooli ja ilma koolita ei oleks elu!	et
kõrv	NOUN	kõrvadest	Nii palju minu kõrvadest.	et
kõrv	NOUN	kõrvadeni	Tema nina ja suud katab nagu teistelgi siin fuajees tume riie, mis ulatub kõrvadeni.	et
jooma	VERB	joonud	Ma leidsin, et on kasulik olla sõber nendega, kes ei joonud üldse.	et
jooma	VERB	joo	Ei, Mike ei joo teed, ta joob kohvi.	et
tulistama	VERB	tulistab	Lisaks tulistab ta rindu üht teda takistama tulnud kolleegi, kes sureb hiljem haiglas.	et
tulistama	VERB	tulistasite	Mis relvadest te tulistasite Savisaare pildi pihta?	et
lugu	NOUN	lugudele	Olen varemgi mitmetesse oma lauludesse pannud vihjeid nende lugudele.	et
lugu	NOUN	loo	Tähendusega laulud räägivad loo.	et
ükski	PRON	ühekski	Võõrsil saab kindlasti raskem olema, aga võidust väiksemaid eesmärke ei sea me ühekski kohtumiseks.	et
ükski	PRON	ühestki	Geograafiline suurus ei tee ühestki maa-alast suurt riiki.	et
vanem	ADJ	vanemad	Nende vanemad annavad neile mõned ideed.	et
vanem	ADJ	vanemaks	Kuid vanemaks saades on see muutunud raskemaks.	et
valima	VERB	valiks	Neile meeldiks, kui me valiks presidendiks inimese, kes selle jõuallika ohtu seaks.	et
valima	VERB	valin	Homme valin parima istekohaga pileti, mis alles on.	et
muutma	VERB	Muudavad	Kas paremad panused Muudavad lemmikud suuremaks.	et
muutma	VERB	muudaksite	Kui oleksite võimupartei juht, kuidas Eesti maksusüsteemi muudaksite?	et
viskama	VERB	visatagu	Ja kui keegi läheneb, siis ta visatagu kividega surnuks, olgu inimene või loom!	et
viskama	VERB	viskamata	Siis jäid neljaks minutiks väravad mängus viskamata, tundeid oli aga platsil selle võrra rohkem.	et
neli	NUM	nelja	Alagrupis on Melsungen nelja punktiga liider.	et
neli	NUM	Nelja	Nelja päeva jooksul on väikses linnas meeletult etendusi, tullakse kohale kontsentreeritud ajaks ja ruumi.	et
kartma	VERB	kardan	Aga ma kardan vett.	et
kartma	VERB	kardeta	Kui teda enam ei kardeta ja väiksed tüdrukudki neid argumenteerides võidavad?	et
pand	NOUN	panna	Ta ei tea, mida selga panna.	et
pand	NOUN	Panna	Panna vastu kiusatusele looja nõrkuseid kuritarvitada.	et
kaduma	VERB	kaoksite	Vaat, miks ma tahan, et kaoksite minema.	et
kaduma	VERB	kaoksin	Trek-Segafredos on kõik palju suurem, kuid ma ei tunne, et kaoksin selles grupis ära.	et
poi	NOUN	Poisid	Poisid püüdsid viimases hädas plehku panna, aga nad olid igast küljest sisse piiratud!	et
poi	NOUN	Poisse	Poisse tassiti pool päeva mööda asutusi ja ülekuulamisi – Vaksali tänavalt Pagarisse ja tagasi.	et
kandma	VERB	kandis	Kas ainult üks inimene kandis teda?	et
kandma	VERB	kandsime	Me hoidsime ja kandsime teda kordamööda ja ma isegi aitasin tal korra mähkmeid vahetada.	et
oma	ADJ	omas	Vanema poisi rühmast pool on vene lapsed, noorema omas on neid kaks kolmandikku.	et
oma	ADJ	omad	Efektiivsusmeetmete rakendamine võtab muidugi ka oma aja ja sellega on omad kulutused.	et
ring	NOUN	ringe	Publiku reaktsioon oli puhas rõõm, nad võtsid kätest kinni, hakkasid rituaalseid ringe moodustades tantsima.	et
ring	NOUN	ringi	Vaatan oma riidekapis ringi.	et
pääsema	VERB	pääsege	Vaadake, kuidas ma üritan laeva lõhkuda ja pääsege sellest.	et
pääsema	VERB	pääsen	Loodetavasti pääsen ka finaali.	et
jutt	NOUN	juttudeks	Oma asju olen ikka juttudeks nimetanud.	et
jutt	NOUN	jutuna	Kõik, mis vanast usundist Balti riikides alles on jäänud, tuleb meieni vanaeide jutuna folkloristile.	et
pakkuma	VERB	pakutav	Küsi igaks juhuks oma koostööpartneritelt, kas pakutav sissetulek võib sattuda vastuollu nende toimetulekumudeliga.	et
pakkuma	VERB	pakuksin	Nende rahustamiseks pakuksin teist vaatenurka.	et
number	NOUN	numbriteks	Kui inimene neid kilomeetreid omal nahal läbi ei tee, siis jäävadki kilomeetrid pelgalt numbriteks.	et
number	NOUN	Numbreid	Numbreid ma ei tahaks välja käia.	et
lähe	NOUN	lähte	Erik sai hea lähte ja juhtis sõitu kuni lõpuni.	et
pere	NOUN	peredel	Neil on vanemad ja neil peredel peaksid, aga kas on, väärtused?	et
pere	NOUN	perel	Lapsi, kelle perel on raske, käib nii munitsipaalhuvikoolides kui erahuvikoolides.	et
tüüp	NOUN	tüüpidega	Et mis tüüpidega tegu, mida nad siis ikka omast peast kokku on kirjutanud.	et
tüüp	NOUN	tüübiga	Aga kus sa sellega – tegemist on ühe õrnema tüübiga üleüldse.	et
uurima	VERB	uurida	Ma arvasin, et kui ma saan magada, saan ma selle järgmisel päeval välja uurida.	et
uurima	VERB	uurige	Minge ja uurige ümbrust, enne kui sisse astute.	et
pilt	NOUN	pildilt	Varsti ei tunne mu vanavanavanemaid pildilt enam keegi ära.	et
pilt	NOUN	pildid	Pärast reisi postitab ta kõik oma pildid internetti.	et
suhe	NOUN	suhtes	Aga Roosi on kana suhtes allergiline.	et
suhe	NOUN	suhteta	Uskuda saab ju mitut moodi, aga tegeliku suhteta jääb Jumal kaugeks ja ebamääraseks.	et
proua	NOUN	prouale	Kumbki minu nimetatud põhjus prouale ei meeldinud.	et
proua	NOUN	prouad	Mõned prouad asusid lauda koristama täpselt sama agaralt nagu olid hommikul seda katnud.	et
sobima	VERB	sobida	Nende lahendus ei pruugi sobida sinule või sinu riigile.	et
sobima	VERB	sobime	Me sobime Fernandoga väga hästi kokku.	et
perekond	NOUN	perekondasid	Nii et saavutada töövõimalused ja teiseks aidata perekondasid.	et
perekond	NOUN	perekondadega	Perekondade suurus ja väikelaste suremus oli võrreldav Soome perekondadega.	et
nõu	NOUN	nõuga	Üksnes hea nõuga, kui seda juhtub olema.	et
nõu	NOUN	nõud	Tema riided ja nõud on alati räpased.	et
kapten	NOUN	kapteniks	Kas mängija suudab kapteniks olemise vastutusega hakkama saada?	et
tavaline	ADJ	tavalisest	Kahjuks on tänavu nii, et ettevalmistustsükkel kestab tavalisest märksa vähem.	et
tavaline	ADJ	tavalisega	Plaanitud tiraažid on tavalisega võrreldes väga palju suuremad.	et
vihkama	VERB	vihkame	Mitte seepärast, et vihkame valet.	et
vihkama	VERB	vihati	Valges Majas vihati teda.	et
võitlema	VERB	võidelda	Meeskond on tugev, mängib hästi ja me suudame võidelda Eesti meistritiitli nimel.	et
võitlema	VERB	Võitlen	Võitlen iga punkti pärast ja naudin atmosfääri, mängimist kõigi aegade parima vastu.	et
jamama	VERB	jamab	Mis see Mikser veel presidendi valimiste pärast jamab.	et
jamama	VERB	jamasin	Päev otsa jamasin gaasirulli ja karbussiga, kuid ei saanudki tsiklit korralikult käima.	et
veri	NOUN	verre	Kui me sööme, siis seedimisel sisse söödud süsivesikud lagunevad glükoosiks ja see imendub verre.	et
veri	NOUN	Vere	Vere liikumise suund soontes on Karli jaoks ainuke aus asi.	et
selg	NOUN	selga	Ta ei tea, mida selga panna.	et
selg	NOUN	Seljas	Seljas oli tal lilla põlvedeni mantel ja kaelas lilla sall.	et
lendama	VERB	lendaks	Kui saaks, siis lendaks.	et
lendama	VERB	lendan	Ma lendan täna Los Angelesse.	et
koer	ADJ	koeril	Tihe kontakti suurte koererühmadega tähendab, et teie koeril on oht saada mingeid haigusi.	et
koer	ADJ	koertest	Kõik luuletused raamatus räägivat eri tõugu koertest, aga on luuletus ka päris krantsist.	et
aus	ADJ	ausal	Avalikus ruumis olgu arvamus põhjendatud ning ausal viisil lugejale ette kantud.	et
aus	ADJ	ausatel	Mängijad konkureerivad üksteisega võidu nimel ausatel tingimustel.	et
telefon	NOUN	telefonist	Nagu rott suhkrumasina ees, keeldub inimene telefonist lahkumast.	et
telefon	NOUN	telefonid	Takso tellimisel annavad pidevalt kinnist tooni vähemalt viie ettevõtte telefonid.	et
rahunema	VERB	rahunete	Jah, kui te rahunete maha, selgitan ma täpselt, mis juhtus.	et
rahunema	VERB	rahuneksin	Kuidas sa saad ütelda, et ma maha rahuneksin?	et
päästma	VERB	päästad	Arnold Rüütel ütles, et sa päästad meid välja, tuled meile peaministrikandidaadiks.	et
päästma	VERB	Päästan	Päästan su kohe välja!	et
pikk	ADJ	pika	Laar sai üle pika aja kirja täismängu.	et
pikk	ADJ	pikki	Jesper teeb pikki lõunapause.	et
armastus	NOUN	Armastuseks	Teda ei kutsuta küll ainult Pühaks Vaimuks, vaid ka Jumala Armastuseks ja Anniks.	et
armastus	NOUN	armastuseta	Vargamäel valitseb külm identiteet — tööjõudu hoitakse hoolimatult ja ilma nähtava armastuseta.	et
põhjus	NOUN	põhjusel	Sel põhjusel pidime mõtlema, kuidas me pärast õhtusööki koju saame.	et
põhjus	NOUN	põhjuseid	Samuti ei saa välistada ka poliitilisi põhjuseid.	et
raamat	NOUN	raamatul	Loomulikult ma tahan, et raamatul läheks hästi üle maailma.	et
raamat	NOUN	raamatut	Jane loeb raamatut, kuid jääb magama.	et
armas	ADJ	Armsaim	Armsaim inimene on mu lapselaps.	et
